date,coin,pos_score,neu_score,neg_score,sentiment_score,polarity,subjectivity
2021-01-13 18:00:00+00:00,ZIL,0.2270571847507331,0.7525850439882698,0.020357771260997,0.4702932551319648,0.1592551319648093,0.4014794721407624
2021-01-13 18:00:00+00:00,SOL,0.3411363636363636,0.6515909090909091,0.0072727272727272,0.5795454545454546,0.2422727272727272,0.4211363636363636
2021-01-13 18:00:00+00:00,STX,0.1832666666666666,0.7232000000000001,0.0931333333333333,0.3036,0.0347333333333332,0.3959333333333333
2021-01-13 18:00:00+00:00,TRX,0.2975925925925926,0.6885185185185185,0.0144444444444444,0.5814814814814815,0.1648148148148147,0.3131481481481482
2021-01-13 18:00:00+00:00,VOLT,0.0,1.0,0.0,0.0,0.0,0.5
2021-01-13 18:00:00+00:00,VTHO,0.38,0.62125,0.0,0.775,0.235,0.24375
2021-01-13 18:00:00+00:00,XLM,0.2578205128205128,0.7359615384615384,0.0062179487179487,0.5359294871794871,0.1228365384615384,0.3080608974358974
2021-01-13 18:00:00+00:00,LTC,0.238141923436041,0.7070774976657329,0.0555765639589168,0.323235294117647,0.049077964519141,0.2977847805788982
2021-01-13 18:00:00+00:00,SHIB,0.102,0.835,0.063,-0.025,0.0189999999999999,0.4429999999999999
2021-01-13 18:00:00+00:00,LRC,0.3803571428571429,0.6132142857142858,0.0057142857142857,0.6757142857142856,0.2609523809523809,0.5096428571428572
2021-01-13 18:00:00+00:00,ETH,0.2187065487703785,0.7429274316109422,0.0387187682294065,0.3663510369653986,0.094536393570968,0.3581065787049829
2021-01-13 18:00:00+00:00,GMX,0.09,0.84,0.07,0.33,0.06,0.31
2021-01-13 18:00:00+00:00,AGIX,0.11,0.89,0.0,0.44,0.28,0.48
2021-01-13 18:00:00+00:00,ATOM,0.328076923076923,0.6460256410256411,0.0266666666666666,0.5353846153846153,0.1339102564102564,0.4498717948717949
2021-01-13 18:00:00+00:00,AVAX,0.2055546558704453,0.7353704453441295,0.0593200629779576,0.2902452766531713,0.1046763382816013,0.3732645074224021
2021-01-13 18:00:00+00:00,BNT,0.425,0.575,0.0,0.775,0.5,0.685
2021-01-13 18:00:00+00:00,GRT,0.5072222222222222,0.4783333333333334,0.0144444444444444,0.7127777777777777,0.0311111111111111,0.19
2021-01-13 18:00:00+00:00,CFX,0.25,0.63,0.12,0.79,0.17,0.48
2021-01-13 18:00:00+00:00,CHZ,0.4679999999999999,0.4800000000000001,0.052,0.7,0.02,0.362
2021-01-13 18:00:00+00:00,BTC,0.1948972258492384,0.7402622049840116,0.0649854401850626,0.3079866348486831,0.0868704529673405,0.3601217779863724
2021-01-13 18:00:00+00:00,DOGE,0.2629084967320261,0.6922222222222223,0.0450653594771241,0.4074836601307189,0.1355555555555555,0.2831045751633986
2021-01-13 18:00:00+00:00,DOT,0.3171240816917287,0.6483840196840197,0.0344236326309855,0.499198793744382,0.1576330172006642,0.3459131282660694
2021-01-13 18:00:00+00:00,ELON,0.446111111111111,0.5311111111111111,0.0238888888888888,0.616111111111111,-0.0188888888888888,0.2038888888888889
2021-01-13 18:00:00+00:00,FLOKI,0.271,0.6900000000000001,0.0409999999999999,0.5820000000000001,0.35,0.64
2021-01-13 18:00:00+00:00,FTM,0.1592857142857142,0.7985714285714286,0.0435714285714285,0.225,0.0207142857142857,0.3607142857142857
2021-01-13 18:00:00+00:00,GALA,0.13,0.87,0.0,0.36,0.1033333333333333,0.2366666666666666
2021-01-13 18:00:00+00:00,CRO,0.3349999999999999,0.665,0.0,0.6766666666666667,0.4983333333333333,0.6649999999999999
2021-01-13 19:00:00+00:00,LTC,0.2266406249999999,0.746203125,0.026978125,0.4232749999999999,0.1385875,0.34641875
2021-01-13 19:00:00+00:00,MANA,0.465,0.505,0.03,0.8300000000000001,0.47,0.625
2021-01-13 19:00:00+00:00,MATIC,0.2256439909297051,0.727250566893424,0.0469863945578231,0.368359410430839,0.114173469387755,0.3642517006802721
2021-01-13 19:00:00+00:00,NEO,0.315,0.6765384615384615,0.0134615384615384,0.7334615384615385,0.1715384615384615,0.2580769230769231
2021-01-13 19:00:00+00:00,QNT,0.3145238095238095,0.5988095238095238,0.0871428571428571,0.345,0.1376190476190476,0.2095238095238095
2021-01-13 19:00:00+00:00,SAND,0.1627013888888888,0.7433402777777777,0.0940277777777777,0.1474236111111111,0.0221180555555555,0.4884236111111111
2021-01-13 19:00:00+00:00,STX,0.3,0.6916666666666667,0.0083333333333333,0.5791666666666666,0.0658333333333333,0.1574999999999999
2021-01-13 19:00:00+00:00,SOL,0.28,0.6589130434782609,0.0180434782608695,0.428695652173913,0.103695652173913,0.3930434782608695
2021-01-13 19:00:00+00:00,TRX,0.3608529411764706,0.5926372549019608,0.0493431372549019,0.602078431372549,0.1636862745098039,0.2949803921568626
2021-01-13 19:00:00+00:00,VTHO,0.4633333333333334,0.5366666666666667,0.0,0.5599999999999999,0.2766666666666666,0.2766666666666666
2021-01-13 19:00:00+00:00,XLM,0.4232578397212543,0.523654181184669,0.0544512195121951,0.6604529616724739,0.1666986062717769,0.2127047038327526
2021-01-13 19:00:00+00:00,ZIL,0.2937301587301587,0.6346269841269842,0.0716428571428571,0.4137777777777777,0.1828333333333333,0.3743333333333333
2021-01-13 19:00:00+00:00,LRC,0.3676006894340227,0.6021071027737694,0.0308186628186627,0.5654495751162418,0.2122105178771845,0.3511813371813371
2021-01-13 19:00:00+00:00,SHIB,0.2446153846153846,0.6884615384615385,0.065,0.3042307692307692,0.1019230769230769,0.3646153846153846
